X axis (cm^-1)	Real index (n)
1091.5	1.5727
1093.4	1.5728
1095.4	1.5729
1097.3	1.573
1099.2	1.5731
1101.2	1.5732
1103.1	1.5733
1105	1.5734
1106.9	1.5735
1108.9	1.5736
1110.8	1.5737
1112.7	1.5738
1114.7	1.5739
1116.6	1.574
1118.5	1.5741
1120.4	1.5741
1122.4	1.5742
1124.3	1.5743
1126.2	1.5744
1128.2	1.5745
1130.1	1.5746
1132	1.5747
1133.9	1.5748
1135.9	1.5749
1137.8	1.5749
1139.7	1.575
1141.7	1.5751
1143.6	1.5752
1145.5	1.5753
1147.4	1.5754
1149.4	1.5755
1151.3	1.5755
1153.2	1.5756
1155.2	1.5757
1157.1	1.5758
1159	1.5759
1160.9	1.576
1162.9	1.576
1164.8	1.5761
1166.7	1.5762
1168.7	1.5763
1170.6	1.5764
1172.5	1.5764
1174.4	1.5765
1176.4	1.5766
1178.3	1.5767
1180.2	1.5768
1182.2	1.5768
1184.1	1.5769
1186	1.577
1187.9	1.5771
1189.9	1.5771
1191.8	1.5772
1193.7	1.5773
1195.6	1.5774
1197.6	1.5774
1199.5	1.5775
1201.4	1.5776
1203.4	1.5777
1205.3	1.5777
1207.2	1.5778
1209.1	1.5779
1211.1	1.5779
1213	1.578
1214.9	1.5781
1216.9	1.5782
1218.8	1.5782
1220.7	1.5783
1222.6	1.5784
1224.6	1.5784
1226.5	1.5785
1228.4	1.5786
1230.4	1.5786
1232.3	1.5787
1234.2	1.5788
1236.1	1.5788
1238.1	1.5789
1240	1.579
1241.9	1.579
1243.9	1.5791
1245.8	1.5792
1247.7	1.5792
1249.6	1.5793
1251.6	1.5794
1253.5	1.5794
1255.4	1.5795
1257.4	1.5796
1259.3	1.5796
1261.2	1.5797
1263.1	1.5798
1265.1	1.5798
1267	1.5799
1268.9	1.5799
1270.9	1.58
1272.8	1.5801
1274.7	1.5801
1276.6	1.5802
1278.6	1.5802
1280.5	1.5803
1282.4	1.5804
1284.4	1.5804
1286.3	1.5805
1288.2	1.5805
1290.1	1.5806
1292.1	1.5807
1294	1.5807
1295.9	1.5808
1297.9	1.5808
1299.8	1.5809
1301.7	1.581
1303.6	1.581
1305.6	1.5811
1307.5	1.5811
1309.4	1.5812
1311.4	1.5812
1313.3	1.5813
1315.2	1.5813
1317.1	1.5814
1319.1	1.5815
1321	1.5815
1322.9	1.5816
1324.9	1.5816
1326.8	1.5817
1328.7	1.5817
1330.6	1.5818
1332.6	1.5818
1334.5	1.5819
1336.4	1.5819
1338.4	1.582
