X axis (cm^-1)	Imaginary index (k)
1411.6	8.6126e-05
1413.6	8.5764e-05
1415.5	8.5403e-05
1417.4	8.5044e-05
1419.4	8.4688e-05
1421.3	8.4333e-05
1423.2	8.3981e-05
1425.1	8.363e-05
1427.1	8.3282e-05
1429	8.2935e-05
1430.9	8.259e-05
1432.9	8.2247e-05
1434.8	8.1906e-05
1436.7	8.1567e-05
1438.6	8.123e-05
1440.6	8.0895e-05
1442.5	8.0562e-05
1444.4	8.023e-05
1446.3	7.99e-05
1448.3	7.9573e-05
1450.2	7.9246e-05
1452.1	7.8922e-05
1454.1	7.8599e-05
1456	7.8279e-05
1457.9	7.796e-05
1459.8	7.7642e-05
1461.8	7.7327e-05
1463.7	7.7013e-05
1465.6	7.6701e-05
1467.6	7.6391e-05
1469.5	7.6082e-05
1471.4	7.5775e-05
1473.3	7.5469e-05
1475.3	7.5166e-05
1477.2	7.4864e-05
1479.1	7.4563e-05
1481.1	7.4264e-05
1483	7.3967e-05
1484.9	7.3671e-05
1486.8	7.3377e-05
1488.8	7.3085e-05
1490.7	7.2794e-05
1492.6	7.2504e-05
1494.6	7.2216e-05
1496.5	7.193e-05
1498.4	7.1645e-05
1500.3	7.1362e-05
1502.3	7.108e-05
1504.2	7.08e-05
1506.1	7.0521e-05
1508.1	7.0244e-05
1510	6.9968e-05
1511.9	6.9693e-05
1513.8	6.9421e-05
1515.8	6.9149e-05
1517.7	6.8879e-05
1519.6	6.861e-05
1521.6	6.8343e-05
1523.5	6.8077e-05
1525.4	6.7812e-05
1527.3	6.7549e-05
1529.3	6.7287e-05
1531.2	6.7027e-05
1533.1	6.6768e-05
1535.1	6.651e-05
1537	6.6254e-05
1538.9	6.5999e-05
1540.8	6.5745e-05
1542.8	6.5493e-05
1544.7	6.5241e-05
1546.6	6.4992e-05
1548.6	6.4743e-05
1550.5	6.4496e-05
1552.4	6.425e-05
1554.3	6.4005e-05
1556.3	6.3761e-05
1558.2	6.3519e-05
1560.1	6.3278e-05
1562.1	6.3038e-05
1564	6.28e-05
1565.9	6.2562e-05
1567.8	6.2326e-05
1569.8	6.2091e-05
1571.7	6.1857e-05
1573.6	6.1624e-05
1575.6	6.1393e-05
1577.5	6.1163e-05
1579.4	6.0933e-05
1581.3	6.0705e-05
1583.3	6.0479e-05
1585.2	6.0253e-05
1587.1	6.0028e-05
1589.1	5.9805e-05
1591	5.9582e-05
1592.9	5.9361e-05
1594.8	5.9141e-05
1596.8	5.8922e-05
1598.7	5.8704e-05
1600.6	5.8487e-05
1602.6	5.8271e-05
1604.5	5.8057e-05
1606.4	5.7843e-05
1608.3	5.763e-05
1610.3	5.7419e-05
1612.2	5.7208e-05
1614.1	5.6999e-05
1616.1	5.679e-05
1618	5.6583e-05
1619.9	5.6376e-05
1621.8	5.6171e-05
1623.8	5.5966e-05
1625.7	5.5763e-05
1627.6	5.556e-05
1629.6	5.5359e-05
1631.5	5.5158e-05
1633.4	5.4959e-05
1635.3	5.476e-05
1637.3	5.4563e-05
1639.2	5.4366e-05
1641.1	5.4171e-05
1643.1	5.3976e-05
1645	5.3782e-05
1646.9	5.3589e-05
1648.8	5.3397e-05
1650.8	5.3206e-05
1652.7	5.3016e-05
1654.6	5.2827e-05
1656.6	5.2638e-05
1658.5	5.2451e-05
1660.4	5.2265e-05
1662.3	5.2079e-05
1664.3	5.1894e-05
1666.2	5.171e-05
1668.1	5.1527e-05
1670.1	5.1345e-05
1672	5.1164e-05
1673.9	5.0984e-05
1675.8	5.0804e-05
1677.8	5.0625e-05
1679.7	5.0448e-05
1681.6	5.027e-05
1683.6	5.0094e-05
1685.5	4.9919e-05
1687.4	4.9744e-05
1689.3	4.9571e-05
1691.3	4.9398e-05
1693.2	4.9226e-05
1695.1	4.9054e-05
1697.1	4.8884e-05
1699	4.8714e-05
1700.9	4.8545e-05
1702.8	4.8377e-05
1704.8	4.821e-05
1706.7	4.8043e-05
1708.6	4.7877e-05
1710.5	4.7712e-05
1712.5	4.7548e-05
1714.4	4.7384e-05
1716.3	4.7222e-05
1718.3	4.7059e-05
1720.2	4.6898e-05
1722.1	4.6738e-05
1724	4.6578e-05
1726	4.6419e-05
1727.9	4.626e-05
1729.8	4.6103e-05
1731.8	4.5946e-05
1733.7	4.579e-05
1735.6	4.5634e-05
1737.5	4.5479e-05
1739.5	4.5325e-05
1741.4	4.5172e-05
1743.3	4.5019e-05
